"source_code","source_vocabulary","frequency","source_concept_class","source_name","validity","standard_code","standard_name","standard_vocabulary","mapping_resource"
"13705A.B","MEDIDOC",5425617,NA,"Hemoglobine",NA,"718-7","Hemoglobin (blood)","LOINC","retam_table_032022"
"13713C.B","MEDIDOC",5393574,NA,"Eosinofielen",NA,"26449-9","White blood cell differentiation: Eosinophils (blood) - in #/volume","LOINC","retam_table_032022"
"13713E.B","MEDIDOC",5381489,NA,"Lymfocyten",NA,"26474-7, 731-0","White blood cell differentiation: Lymphocytes (blood) - in #/volume, White blood cell differentiation: Lymphocytes (blood) - in #/volume - automated count","LOINC","retam_table_032022"
"13707A.B","MEDIDOC",5358835,NA,"Erythrocyten",NA,"789-8","Erythrocytes (blood)","LOINC","retam_table_032022"
"13713F.B","MEDIDOC",5300941,NA,"Monocyten",NA,"26484-6","White blood cell differentiation: Monocytes (blood) - in #/volume","LOINC","retam_table_032022"
"13707F.B","MEDIDOC",5217936,NA,"Hematocriet",NA,"4544-3","Hematocrit (blood)","LOINC","retam_table_032022"
"13707B.B","MEDIDOC",5190369,NA,"MCV",NA,"787-2","Mean corpuscular volume (erythrocytes)","LOINC","retam_table_032022"
"13713D.B","MEDIDOC",5172424,NA,"Basofielen",NA,"26444-0","White blood cell differentiation: Basophils (blood) - in #/volume","LOINC","retam_table_032022"
"13707D.B","MEDIDOC",5172286,NA,"MCH",NA,"785-6","Mean corpuscular hemoglobin (erythrocytes)","LOINC","retam_table_032022"
"13707E.B","MEDIDOC",5162895,NA,"MCHC",NA,"786-4","Mean corpuscular hemoglobin concentration (erythrocytes)","LOINC","retam_table_032022"
"57139A.B","MEDIDOC",5122553,NA,"Creatinine",NA,"2160-0","Creatinine (serum/plasma) [mg/dL]","LOINC","retam_table_032022"
"13709A.B","MEDIDOC",5022495,NA,"Leukocytentelling",NA,"6690-2","Leukocytes (blood) - in #/volume - automated count","LOINC","retam_table_032022"
"13717A.B","MEDIDOC",4674190,NA,"Trombocyten",NA,"777-3","Platelets (blood) - automated count","LOINC","retam_table_032022"
"13553A.B","MEDIDOC",4436750,NA,"ALAT (SGPT)",NA,"1742-6","Alanine aminotransferase (serum/plasma) [U/L]","LOINC","retam_table_032022"
"57277A.B","MEDIDOC",4292158,NA,"Y-GT",NA,"2324-2","Gamma glutamyl transferase (serum/plasma) [U/L]","LOINC","retam_table_032022"
"57217I.B","MEDIDOC",3904836,NA,"CRP",NA,"1988-5","C reactive protein (serum/plasma) [mg/L]","LOINC","retam_table_032022"
"13551A.B","MEDIDOC",3730976,NA,"ASAT (SGOT)",NA,"1920-8","Aspartate aminotransferase (serum/plasma) [U/L]","LOINC","retam_table_032022"
"57131A.B","MEDIDOC",3514531,NA,"Cholesterol totaal",NA,"2093-3","Cholesterol (serum/plasma) - [mg/dL]","LOINC","retam_table_032022"
"447130.B","MEDIDOC",3512822,NA,"TSH",NA,"3016-3","Thyroid Stimulating Hormone (serum/plasma)","LOINC","retam_table_032022"
"57213A.B","MEDIDOC",3289246,NA,"Kalium",NA,"2823-3","Potassium (serum/plasma) [mmol/L]","LOINC","retam_table_032022"
"57225A.B","MEDIDOC",3273139,NA,"Natrium",NA,"2951-2","Sodium (serum/plasma) [mmol/L]","LOINC","retam_table_032022"
"13723A.B","MEDIDOC",3273035,NA,"Bloedbezinking 1 uur",NA,"4537-7","Erythrocyte sedimentation rate (blood)","LOINC","retam_table_032022"
"57133A.B","MEDIDOC",3255833,NA,"HDL-cholesterol",NA,"2085-9","High density lipoprotein cholesterol (serum/plasma) - [mg/dL]","LOINC","retam_table_032022"
"57227A.B","MEDIDOC",3249879,NA,"Triglyceriden",NA,"2571-8","Triglyceride (serum/plasma) [mg/dL]","LOINC","retam_table_032022"
"13501A.B","MEDIDOC",2969640,NA,"Urinezuur",NA,"3084-1","Urate (serum/plasma) [mg/dL]","LOINC","retam_table_032022"
"135110.B","MEDIDOC",2936178,NA,"Glucose nuchter",NA,"53049-3","Glucose - fasted  (serum/plasma) [mg/dL]","LOINC","retam_table_032022"
"13713B.B","MEDIDOC",2841660,NA,"Segmentkernigen",NA,NA,NA,NA,NA
"44311A.B","MEDIDOC",2815525,NA,"Ferritine",NA,"2276-4","Ferritin (serum/plasma) - in mass/volume [�g/L]","LOINC","retam_table_032022"
"57283A.B","MEDIDOC",2794116,NA,"Alkalische fosfatase",NA,"6768-6","Alkaline phosphatase (serum/plasma) [U/L]","LOINC","retam_table_032022"
"57133D.B","MEDIDOC",2638237,NA,"Tot-CHOL:HDL-CHOL",NA,NA,NA,NA,NA
"57710F.D","MEDIDOC",2611311,NA,"eGFR (CKD-EPI)",NA,"62238-1","Estimated glomerular filtration rate - CKD-EPI","LOINC","retam_table_032022"
"13713H.B","MEDIDOC",2570134,NA,"Neutrofielen",NA,"26499-4","White blood cell differentiation: Neutrophils (blood) - in #/volume","LOINC","retam_table_032022"
"57710A.D","MEDIDOC",2492174,NA,"eGFR (MDRD)",NA,"77147-7","Estimated glomerular filtration rate - MDRD","LOINC","retam_table_032022"
"13513A.B","MEDIDOC",2481676,NA,"Ureum",NA,"3091-6","Urea (serum/plasma) [mg/dL]","LOINC","retam_table_032022"
"57163A.B","MEDIDOC",2226127,NA,"Ijzer",NA,"2498-4","Iron (serum/plasma) - in mass/volume [�g/dl]","LOINC","retam_table_032022"
"57129A.B","MEDIDOC",2218054,NA,"Chloride",NA,"2075-0","Chloride (serum/plasma) [mmol/L]","LOINC","retam_table_032022"
"57133B.B","MEDIDOC",2207390,NA,"LDL-cholesterol",NA,NA,NA,NA,NA
"13714C.B","MEDIDOC",2176622,NA,"Eosinofielen (%)",NA,"26450-7","White blood cell differentiation: Eosinophils (blood) - in %","LOINC","retam_table_032022"
"13714E.B","MEDIDOC",2173727,NA,"Lymfocyten (%)",NA,"26478-8","White blood cell differentiation: Lymphocytes (blood) - in %","LOINC","retam_table_032022"
"13714F.B","MEDIDOC",2166886,NA,"Monocyten (%)",NA,"26485-3","White blood cell differentiation: Monocytes (blood) - in %","LOINC","retam_table_032022"
"13714D.B","MEDIDOC",2155267,NA,"Basofielen (%)",NA,"30180-4","White blood cell differentiation: Basophils (blood) - in %","LOINC","retam_table_032022"
"44313A.B","MEDIDOC",1778606,NA,"Vitamine B12",NA,"2132-9","Cobalamins  (serum/plasma) [ng/L]","LOINC","retam_table_032022"
"57159A.B","MEDIDOC",1667486,NA,"Bicarbonaat",NA,"1963-8","Bicarbonate (serum/plasma) [mmol/L]","LOINC","retam_table_032022"
"13714B.B","MEDIDOC",1665063,NA,"Segmentkernigen (%)",NA,NA,NA,NA,NA
"13707C.B","MEDIDOC",1609658,NA,"RDW",NA,"788-0","Erythrocyte distribution width (erythrocytes)","LOINC","retam_table_032022"
"13503A.B","MEDIDOC",1606018,NA,"Bilirubine (totaal)",NA,"1975-2","Bilirubin total (serum/plasma) [mg/dL]","LOINC","retam_table_032022"
"57133J.B","MEDIDOC",1579228,NA,"Non-HDL-cholesterol",NA,"43396-1","non-High density lipoprotein  cholesterol (serum/plasma)","LOINC","retam_table_032022"
"57269A.B","MEDIDOC",1542952,NA,"LDH",NA,"14804-9","Lactate dehydrogenase (serum/plasma) [U/L]","LOINC","retam_table_032022"
"57121A.B","MEDIDOC",1500537,NA,"Calcium",NA,"17861-6","Calcium (serum/plasma) - in mass/volume","LOINC","retam_table_032022"
"R74","ICPC2",1486044,NA,"Acute infectie bovenste luchtwegen",NA,NA,NA,NA,NA
"58158D.B","MEDIDOC",1419180,NA,"P.T. Quick INR",NA,"6301-6","Quick Prothrombin time (platelet poor plasma) - in INR","LOINC","retam_table_032022"
"44303A.B","MEDIDOC",1390808,NA,"Foliumzuur serum",NA,"2284-8","Folate (serum/plasma) [�g/L]","LOINC","retam_table_032022"
"58158A.B","MEDIDOC",1374347,NA,"P.T.",NA,"5894-1","Quick Prothrombin time (platelet poor plasma) - in %","LOINC","retam_table_032022"
"57183A.B","MEDIDOC",1300072,NA,"Hb A1c",NA,"4548-4","Hemoglobin A1c (blood) - in %","LOINC","retam_table_032022"
"44809A.B","MEDIDOC",1283497,NA,"T4 vrij",NA,"3024-7","Thyroxine free (serum/plasma) - in mass/volume","LOINC","retam_table_032022"
"44845A.B","MEDIDOC",1247468,NA,"25-hydroxy cholecalciferol",NA,"1989-3","25 hydroxycholecalciferol (serum/plasma)","LOINC","retam_table_032022"
"13503B.B","MEDIDOC",1239700,NA,"Bilirubine (direct)",NA,"15152-2","Bilirubin conjugated (serum/plasma) [mg/dL]","LOINC","retam_table_032022"
"57215A.B","MEDIDOC",1220723,NA,"Eiwit totaal",NA,"2885-2","Protein (serum/plasma) - [g/L]","LOINC","retam_table_032022"
NA,"ICD10",1158911,NA,NA,NA,NA,NA,NA,NA
"57217N.B","MEDIDOC",1019414,NA,"Transferrine",NA,"3034-6","Transferrin (serum/plasma) - in mass/volume [g/L]","LOINC","retam_table_032022"
"63026U.B","MEDIDOC",1013725,NA,"LDL (berekend)",NA,"13457-7","Low density lipoprotein cholesterol (serum/plasma) - [mg/dL] - calculated","LOINC","retam_table_032022"
"02300A.B","MEDIDOC",929443,NA,"Glucose",NA,NA,NA,NA,NA
"57223C.B","MEDIDOC",898131,NA,"Ijzerverzadiging",NA,"2502-3","Total iron-binding capacity saturation (serum/plasma) - in %","LOINC","retam_table_032022"
"57209A.B","MEDIDOC",820992,NA,"Fosfor",NA,"2777-1","Phosphate (serum/plasma)","LOINC","retam_table_032022"
"57193A.B","MEDIDOC",770739,NA,"Magnesium",NA,"19123-9","Magnesium (serum/plasma)","LOINC","retam_table_032022"
"57273A.B","MEDIDOC",764450,NA,"Lipase",NA,"3040-3","Lipase (serum/plasma)","LOINC","retam_table_032022"
"A99","ICPC2",755301,NA,"Ziekte/toestand niet-gespec aard/lokal",NA,NA,NA,NA,NA
"4293254","CNK",743702,NA,"Comirnaty - Pfizer/BioNTech (1 dosis)",NA,"J07BN01","Covid-19 vaccin RNA based","ATC(Non-Standard)","vaccinet_20240909"
"4293254","CNK",743702,NA,"Comirnaty 30 µg/dosis inj. disp. (conc.) i.m. flac.",NA,"J07BN01",NA,"ATC(Non-Standard)",NA
"R80","ICPC2",734009,NA,"Influenza",NA,NA,NA,NA,NA
"57259A.B","MEDIDOC",732411,NA,"CK",NA,"2157-6","Creatine kinase (serum/plasma)","LOINC","retam_table_032022"
"13721A.B","MEDIDOC",725641,NA,"Reticulocyten",NA,"4679-7","Reticulocytes (blood) - in %","LOINC","retam_table_032022"
"44396A.B","MEDIDOC",710600,NA,"PSA",NA,"2857-1","Prostate specific Ag (serum/plasma) [�g/L]","LOINC","retam_table_032022"
"63132A.B","MEDIDOC",696349,NA,"Hemolyse index (serum)",NA,NA,NA,NA,NA
"J11.1","ICD10",692609,"ICD10 code","Influenza with other respiratory manifestations, virus not identified","valid","10685111000119102","Upper respiratory tract infection caused by Influenza virus","SNOMED","cdm_v5_20240830"
"J06.9","ICD10",657129,"ICD10 code","Acute upper respiratory infection, unspecified","valid","54398005","Acute upper respiratory infection","SNOMED","cdm_v5_20240830"
"57183B.B","MEDIDOC",650065,NA,"Hb A1c (IFCC)",NA,"59261-8","Hemoglobin A1c (blood) - in mmol/mol - IFCC protocol","LOINC","retam_table_032022"
"57151C.B","MEDIDOC",625630,NA,"Alfa-2-globuline elektroforese",NA,"13981-6","Protein electrophoresis: alpha 2 globulin (serum/plasma) - in %","LOINC","retam_table_032022"
"57151B.B","MEDIDOC",624797,NA,"Alfa-1-globuline elektroforese",NA,"13978-2","Protein electrophoresis: alpha 1 globulin (serum/plasma) - in %","LOINC","retam_table_032022"
"57113A.B","MEDIDOC",623482,NA,"Albumine",NA,"1751-7","Albumin (serum/plasma) - [g/L]","LOINC","retam_table_032022"
"13503C.B","MEDIDOC",584037,NA,"Bilirubine (indirect)",NA,"1971-1","Bilirubin unconjugated (serum/plasma) [mg/dL]","LOINC","retam_table_032022"
"57151G.B","MEDIDOC",582922,NA,"Gamma-globuline elektroforese",NA,"13983-2","Protein electrophoresis: gamma globulin (serum/plasma) - in %","LOINC","retam_table_032022"
"2542488","CNK",579951,NA,"Asaflow 80 mg maagsapresist. tabl.",NA,"B01AC06",NA,"ATC(Non-Standard)",NA
"01730T.B","MEDIDOC",571816,NA,"Immature granulocytes",NA,"38518-7","White blood cell differentiation: Granulocytes immature (blood) - in %","LOINC","retam_table_032022"
"13714H.B","MEDIDOC",552275,NA,"Neutrofielen (%)",NA,"26511-6","White blood cell differentiation: Neutrophils (blood) - in %","LOINC","retam_table_032022"
"13901D.U","MEDIDOC",529535,NA,"Leukocyten urine",NA,NA,NA,NA,NA
"57151D.B","MEDIDOC",524271,NA,"Beta-globuline elektroforese",NA,"13982-4","Protein electrophoresis: beta globulin (serum/plasma) - in %","LOINC","retam_table_032022"
"A98","ICPC2",517450,NA,"Preventie",NA,NA,NA,NA,NA
"57151A.B","MEDIDOC",515686,NA,"Albumine elektroforese",NA,"13980-8","Protein electrophoresis: albumin (serum/plasma) - in %","LOINC","retam_table_032022"
"999999_H","MEDIDOC",497360,NA,"Commentaar",NA,NA,NA,NA,NA
"63132B.B","MEDIDOC",494262,NA,"Troebelheidsindex (serum)",NA,NA,NA,NA,NA
"58575_.U","MEDIDOC",493483,NA,"KULTUUR URINE",NA,NA,NA,NA,NA
"13707W_B","MEDIDOC",491125,NA,"Uitzicht serum",NA,NA,NA,NA,NA
"15362B.R","MEDIDOC",487309,NA,"PCR Coronavirus COVID-19 (naso-orofarynx)",NA,NA,NA,NA,NA
"572531.B","MEDIDOC",476675,NA,"Amylase",NA,NA,NA,NA,NA
"57159D.B","MEDIDOC",471837,NA,"Anion gap",NA,NA,NA,NA,NA
"J07BB02","ATC",449656,"ATC 5th","influenza, inactivated, split virus or surface antigen; parenteral","valid",NA,NA,NA,NA
"J07BB02","ATC",449656,NA,"influenza, gezuiverd antigeen",NA,NA,NA,NA,NA
"58161A.B","MEDIDOC",438186,NA,"APTT",NA,"14979-9","Activated partial thromboplastin time (platelet poor plasma) - in sec","LOINC","retam_table_032022"
"13511A.B","MEDIDOC",437526,NA,"Glucose postprandiaal",NA,NA,NA,NA,NA
"Z76.0","ICD10",436418,"ICD10 code","Issue of repeat prescription","valid","243874008","Repeat prescription monitoring status","SNOMED","cdm_v5_20240830"
"999999_K","MEDIDOC",434301,NA,"Info",NA,NA,NA,NA,NA
"13701A.B","MEDIDOC",425899,NA,"Eosinofielen totaal",NA,NA,NA,NA,NA
"13900B.U","MEDIDOC",423769,NA,"pH urine",NA,NA,NA,NA,NA
"58630..A","MEDIDOC",412680,NA,"ANTIBIOGRAM",NA,NA,NA,NA,NA
"R78","ICPC2",411592,NA,"Acute bronchitis/bronchiolitis",NA,NA,NA,NA,NA
"13713A.B","MEDIDOC",404042,NA,"Staafkernige granulocyten",NA,NA,NA,NA,NA
"A77","ICPC2",400075,NA,"Andere virusziekte nao",NA,NA,NA,NA,NA
"L03","ICPC2",393520,NA,"Symptomen/klachten lage-rug",NA,NA,NA,NA,NA
"0997....","MEDIDOC",388157,NA,"OPMERKINGEN",NA,"77202-0","General comments","LOINC","retam_table_032022"
"63132C.B","MEDIDOC",383333,NA,"Icterische index (serum)",NA,NA,NA,NA,NA
"13717C.B","MEDIDOC",377136,NA,"MPV",NA,"28542-9","Platelet mean volume (blood)","LOINC","retam_table_032022"
"1414333","CNK",376452,NA,"Ibuprofen EG 600 mg omh. tabl.",NA,"M01AE01",NA,"ATC(Non-Standard)",NA
"57223A.B","MEDIDOC",375712,NA,"Ijzerbindingscapaciteit",NA,"2500-7","Iron binding capacity (serum/plasma)  [�g/dL]","LOINC","retam_table_032022"
"13900M.U","MEDIDOC",373455,NA,"Eiwit urine (stick)",NA,NA,NA,NA,NA
"A09","ICD10",373094,"ICD10 Hierarchy","Other gastroenteritis and colitis of infectious and unspecified origin","valid","85919009","Disorder of intestine","SNOMED","cdm_v5_20240830"
"A97","ICPC2",358771,NA,"Geen ziekte",NA,NA,NA,NA,NA
"13900H.U","MEDIDOC",358479,NA,"Bilirubine urine",NA,NA,NA,NA,NA
"13901C.U","MEDIDOC",355927,NA,"Erythrocyten urine",NA,NA,NA,NA,NA
"J00","ICD10",345708,"ICD10 Hierarchy","Acute nasopharyngitis [common cold]","valid","82272006","Common cold","SNOMED","cdm_v5_20240830"
"13900J.U","MEDIDOC",340177,NA,"Nitriet urine",NA,NA,NA,NA,NA
"M54.5","ICD10",335472,"ICD10 code","Low back pain","valid","279039007","Low back pain","SNOMED","cdm_v5_20240830"
"K86","ICPC2",335069,NA,"Hypertensie zonder orgaanbeschadiging",NA,NA,NA,NA,NA
"13900F.U","MEDIDOC",330524,NA,"Urobilinogeen urine",NA,NA,NA,NA,NA
"L87","ICPC2",320591,NA,"Bursitis/tendinitis/synoviitis nao",NA,NA,NA,NA,NA
"44807B.B","MEDIDOC",317558,NA,"T3 vrij",NA,NA,NA,NA,NA
"13577A.U","MEDIDOC",313795,NA,"Eiwit dosage urine",NA,"2888-6","Protein (urine) - in mass/volume","LOINC","retam_table_032022"
"I10","ICD10",311620,"ICD10 Hierarchy","Essential (primary) hypertension","valid","59621000","Essential hypertension","SNOMED","cdm_v5_20240830"
"D70","ICPC2",307599,NA,"Gastrointestinale infectie",NA,NA,NA,NA,NA
"D73","ICPC2",307235,NA,"Verondersteld infect gastro-enteritis",NA,NA,NA,NA,NA
"13900N.U","MEDIDOC",304452,NA,"Glucosurie (stick)",NA,"50555-2","Glucose (urine) - presence - test strip","LOINC","retam_table_032022"
"63012D.B","MEDIDOC",287514,NA,"Reticulocyten (absoluut)",NA,"14196-0","Reticulocytes (blood) - in #/volume","LOINC","retam_table_032022"
"J20.9","ICD10",268315,"ICD10 code","Acute bronchitis, unspecified","valid","10509002","Acute bronchitis","SNOMED","cdm_v5_20240830"
